Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
127.25,7.7580605,140.0,119.0,127.25,112.111115,21.916225,138.0,62.0,112.11111111111111,27.54344940185547,31899,3.8343610763549805,,29
143.33333,13.888445,160.0,126.0,143.33333333333334,140.5,16.665833,168.0,122.0,140.5,32.949317932128906,33023,3.944801092147827,,30
200.0,0.0,200.0,200.0,200.0,150.57143,19.477879,196.0,135.0,150.57142857142858,35.00166702270508,34077,4.046642065048218,,31
200.0,0.0,200.0,200.0,200.0,197.66667,5.217492,200.0,186.0,197.66666666666666,44.51103973388672,35263,4.1568992137908936,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,44.32387161254883,36263,4.255572080612183,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,44.25168991088867,37263,4.352502107620239,,34
145.66667,15.923428,165.0,126.0,145.66666666666666,198.16667,4.0994577,200.0,189.0,198.16666666666666,43.02885818481445,38452,4.464064121246338,,35
128.75,8.699857,140.0,118.0,128.75,155.57143,22.958702,200.0,117.0,155.57142857142858,36.70750427246094,39541,4.57545804977417,,36
116.75,3.112475,122.0,114.0,116.75,126.0,9.843215,138.0,107.0,126.0,29.13062858581543,40675,4.686474084854126,,37
109.0,3.1622777,113.0,105.0,109.0,121.666664,10.349449,141.0,111.0,121.66666666666667,27.05990219116211,41770,4.793009042739868,,38
104.5,1.5,107.0,103.0,104.5,109.9,7.930321,120.0,98.0,109.9,22.12579917907715,42869,4.899476051330566,,39
107.25,5.8040934,114.0,98.0,107.25,104.2,21.456001,124.0,43.0,104.2,23.565601348876953,43911,5.001238107681274,,40
96.2,19.792927,111.0,58.0,96.2,96.0,28.651512,119.0,30.0,96.0,20.363525390625,44967,5.108954906463623,,41
100.75,4.968652,106.0,94.0,100.75,103.0,18.676188,124.0,51.0,103.0,20.98566436767578,45997,5.21050500869751,,42
110.25,4.918079,118.0,106.0,110.25,103.0,15.323185,123.0,62.0,103.0,21.940826416015625,47027,5.313184022903442,,43
109.75,4.0233693,114.0,104.0,109.75,114.111115,8.620962,129.0,102.0,114.11111111111111,24.144351959228516,48054,5.416390895843506,,44
123.25,4.81534,129.0,118.0,123.25,112.7,6.708949,129.0,102.0,112.7,22.800832748413086,49181,5.527987957000732,,45
122.5,9.233092,137.0,112.0,122.5,119.111115,5.820356,131.0,110.0,119.11111111111111,23.180999755859375,50253,5.676015853881836,,46
130.0,1.5811388,132.0,128.0,130.0,123.111115,10.948814,143.0,105.0,123.11111111111111,24.947021484375,51361,5.789116859436035,,47
133.66667,6.944222,140.0,124.0,133.66666666666666,132.0,15.091389,153.0,116.0,132.0,26.588232040405273,52417,5.889689922332764,,48
157.33333,9.741093,171.0,149.0,157.33333333333334,149.28572,10.963761,170.0,138.0,149.28571428571428,29.787553787231445,53462,5.996256113052368,,49
167.33333,6.01849,173.0,159.0,167.33333333333334,154.71428,6.3406687,165.0,147.0,154.71428571428572,31.418418884277344,54545,6.105427026748657,,50
181.66667,16.006943,200.0,161.0,181.66666666666666,177.16667,8.74484,190.0,167.0,177.16666666666666,36.71125411987305,55608,6.216551065444946,,51
181.66667,14.007935,200.0,166.0,181.66666666666666,173.83333,13.183534,189.0,156.0,173.83333333333334,36.71364212036133,56651,6.326074838638306,,52
188.33333,3.2998316,192.0,184.0,188.33333333333334,182.33333,12.229291,200.0,168.0,182.33333333333334,37.22018051147461,57745,6.44300103187561,,53
178.0,16.329931,198.0,158.0,178.0,179.0,14.502873,200.0,161.0,179.0,37.068626403808594,58819,6.558381080627441,,54
171.0,5.354126,178.0,165.0,171.0,167.66667,15.509853,197.0,153.0,167.66666666666666,35.45580291748047,59825,6.663609981536865,,55
149.66667,9.843216,161.0,137.0,149.66666666666666,154.28572,15.617887,171.0,130.0,154.28571428571428,31.24900245666504,60905,6.772454023361206,,56
131.75,6.759253,143.0,125.0,131.75,147.0,16.133373,173.0,126.0,147.0,30.433856964111328,61934,6.896943807601929,,57
118.5,3.354102,123.0,114.0,118.5,133.625,8.153795,147.0,122.0,133.625,27.211809158325195,63003,7.005454778671265,,58
115.25,5.0682836,124.0,112.0,115.25,117.666664,9.249625,130.0,104.0,117.66666666666667,24.268070220947266,64062,7.111315011978149,,59
115.5,7.4330344,127.0,108.0,115.5,114.666664,4.0,122.0,110.0,114.66666666666667,22.735387802124023,65094,7.216747999191284,,60
